N,f,t,x,D,V,R,I,Cost,Pi,E,S,g1,g2,g3
5000.0,0.0,6.0,0.7000000000000001,17900.0,5000.0,26249.999999999996,18375.0,275000.0,1001250.0,4999.08125,0.8503674999999999,1001250.0,0.9992202396316433,0.9517759866539742
5000.0,0.0,6.0,0.8,17900.0,5000.0,26249.999999999996,21000.0,275000.0,1001250.0,4998.95,0.85042,1001250.0,0.9992289822732534,0.9520253696092906
5000.0,0.0,7.0,0.0,17550.0,5000.0,30625.0,0.0,275000.0,1005625.0,5000.0,0.85,1005625.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,7.0,0.1,17550.0,5000.0,30625.0,3062.5,275000.0,1005625.0,4999.846875,0.85006125,1005625.0,0.9991692408889185,0.9503212527479629
5000.0,0.0,7.0,0.2,17550.0,5000.0,30625.0,6125.0,275000.0,1005625.0,4999.69375,0.8501225,1005625.0,0.9991794406374634,0.9506121995291653
5000.0,0.0,7.0,0.30000000000000004,17550.0,5000.0,30625.0,9187.500000000002,275000.0,1005625.0,4999.540625,0.85018375,1005625.0,0.9991896403860084,0.9509031463103677
5000.0,0.0,7.0,0.4,17550.0,5000.0,30625.0,12250.0,275000.0,1005625.0,4999.3875,0.850245,1005625.0,0.9991998401345534,0.9511940930915701
5000.0,0.0,7.0,0.5,17550.0,5000.0,30625.0,15312.5,275000.0,1005625.0,4999.234375,0.8503062499999999,1005625.0,0.9992100398830984,0.9514850398727719
5000.0,0.0,7.0,0.6000000000000001,17550.0,5000.0,30625.0,18375.000000000004,275000.0,1005625.0,4999.08125,0.8503674999999999,1005625.0,0.9992202396316433,0.9517759866539742
5000.0,0.0,7.0,0.7000000000000001,17550.0,5000.0,30625.0,21437.500000000004,275000.0,1005625.0,4998.928125,0.85042875,1005625.0,0.9992304393801883,0.9520669334351767
5000.0,0.0,7.0,0.8,17550.0,5000.0,30625.0,24500.0,275000.0,1005625.0,4998.775,0.85049,1005625.0,0.9992406391287333,0.952357880216379
5000.0,0.0,8.0,0.0,17200.0,5000.0,34999.99999999999,0.0,275000.0,1010000.0,5000.0,0.85,1010000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,8.0,0.1,17200.0,5000.0,34999.99999999999,3499.9999999999995,275000.0,1010000.0,4999.825,0.85007,1010000.0,0.9991706979958535,0.9503628165738489
5000.0,0.0,8.0,0.2,17200.0,5000.0,34999.99999999999,6999.999999999999,275000.0,1010000.0,4999.65,0.85014,1010000.0,0.9991823548513334,0.9506953271809374
5000.0,0.0,8.0,0.30000000000000004,17200.0,5000.0,34999.99999999999,10500.0,275000.0,1010000.0,4999.475,0.85021,1010000.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,8.0,0.4,17200.0,5000.0,34999.99999999999,13999.999999999998,275000.0,1010000.0,4999.3,0.8502799999999999,1010000.0,0.9992056685622934,0.9513603483951137
5000.0,0.0,8.0,0.5,17200.0,5000.0,34999.99999999999,17499.999999999996,275000.0,1010000.0,4999.125,0.8503499999999999,1010000.0,0.9992173254177734,0.9516928590022021
5000.0,0.0,8.0,0.6000000000000001,17200.0,5000.0,34999.99999999999,21000.0,275000.0,1010000.0,4998.95,0.85042,1010000.0,0.9992289822732534,0.9520253696092906
5000.0,0.0,8.0,0.7000000000000001,17200.0,5000.0,34999.99999999999,24499.999999999996,275000.0,1010000.0,4998.775,0.85049,1010000.0,0.9992406391287333,0.952357880216379
5000.0,0.0,8.0,0.8,17200.0,5000.0,34999.99999999999,27999.999999999996,275000.0,1010000.0,4998.6,0.85056,1010000.0,0.9992522959842133,0.9526903908234675
5000.0,0.0,9.0,0.0,16850.0,5000.0,39375.0,0.0,275000.0,1014375.0,5000.0,0.85,1014375.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,9.0,0.1,16850.0,5000.0,39375.0,3937.5,275000.0,1014375.0,4999.803125,0.85007875,1014375.0,0.9991721551027885,0.950404380399735
5000.0,0.0,9.0,0.2,16850.0,5000.0,39375.0,7875.0,275000.0,1014375.0,4999.60625,0.8501575,1014375.0,0.9991852690652034,0.9507784548327095
5000.0,0.0,9.0,0.30000000000000004,16850.0,5000.0,39375.0,11812.500000000002,275000.0,1014375.0,4999.409375,0.85023625,1014375.0,0.9991983830276184,0.9511525292656839
5000.0,0.0,9.0,0.4,16850.0,5000.0,39375.0,15750.0,275000.0,1014375.0,4999.2125,0.8503149999999999,1014375.0,0.9992114969900334,0.9515266036986579
5000.0,0.0,9.0,0.5,16850.0,5000.0,39375.0,19687.5,275000.0,1014375.0,4999.015625,0.85039375,1014375.0,0.9992246109524484,0.9519006781316325
5000.0,0.0,9.0,0.6000000000000001,16850.0,5000.0,39375.0,23625.000000000004,275000.0,1014375.0,4998.81875,0.8504725,1014375.0,0.9992377249148633,0.9522747525646069
5000.0,0.0,9.0,0.7000000000000001,16850.0,5000.0,39375.0,27562.500000000004,275000.0,1014375.0,4998.621875,0.85055125,1014375.0,0.9992508388772783,0.9526488269975815
5000.0,0.0,9.0,0.8,16850.0,5000.0,39375.0,31500.0,275000.0,1014375.0,4998.425,0.85063,1014375.0,0.9992639528396933,0.9530229014305559
5000.0,0.0,10.0,0.0,16500.0,5000.0,43749.99999999999,0.0,275000.0,1018750.0,5000.0,0.85,1018750.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,10.0,0.1,16500.0,5000.0,43749.99999999999,4374.999999999999,275000.0,1018750.0,4999.78125,0.8500875,1018750.0,0.9991736122097234,0.9504459442256211
5000.0,0.0,10.0,0.2,16500.0,5000.0,43749.99999999999,8749.999999999998,275000.0,1018750.0,4999.5625,0.850175,1018750.0,0.9991881832790734,0.9508615824844816
5000.0,0.0,10.0,0.30000000000000004,16500.0,5000.0,43749.99999999999,13125.0,275000.0,1018750.0,4999.34375,0.8502625,1018750.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,10.0,0.4,16500.0,5000.0,43749.99999999999,17499.999999999996,275000.0,1018750.0,4999.125,0.8503499999999999,1018750.0,0.9992173254177734,0.9516928590022021
5000.0,0.0,10.0,0.5,16500.0,5000.0,43749.99999999999,21874.999999999996,275000.0,1018750.0,4998.90625,0.8504375,1018750.0,0.9992318964871233,0.9521084972610627
5000.0,0.0,10.0,0.6000000000000001,16500.0,5000.0,43749.99999999999,26250.0,275000.0,1018750.0,4998.6875,0.850525,1018750.0,0.9992464675564733,0.9525241355199232
5000.0,0.0,10.0,0.7000000000000001,16500.0,5000.0,43749.99999999999,30624.999999999996,275000.0,1018750.0,4998.46875,0.8506125,1018750.0,0.9992610386258233,0.9529397737787838
5000.0,0.0,10.0,0.8,16500.0,5000.0,43749.99999999999,34999.99999999999,275000.0,1018750.0,4998.25,0.8507,1018750.0,0.9992756096951733,0.9533554120376444
5000.0,0.0,11.0,0.0,16150.0,5000.0,48125.0,0.0,275000.0,1023125.0,5000.0,0.85,1023125.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,11.0,0.1,16150.0,5000.0,48125.0,4812.5,275000.0,1023125.0,4999.759375,0.85009625,1023125.0,0.9991750693166584,0.9504875080515072
5000.0,0.0,11.0,0.2,16150.0,5000.0,48125.0,9625.0,275000.0,1023125.0,4999.51875,0.8501925,1023125.0,0.9991910974929434,0.9509447101362537
5000.0,0.0,11.0,0.30000000000000004,16150.0,5000.0,48125.0,14437.500000000002,275000.0,1023125.0,4999.278125,0.8502887499999999,1023125.0,0.9992071256692284,0.9514019122209998
5000.0,0.0,11.0,0.4,16150.0,5000.0,48125.0,19250.0,275000.0,1023125.0,4999.0375,0.850385,1023125.0,0.9992231538455133,0.9518591143057464
5000.0,0.0,11.0,0.5,16150.0,5000.0,48125.0,24062.5,275000.0,1023125.0,4998.796875,0.85048125,1023125.0,0.9992391820217983,0.952316316390493
5000.0,0.0,11.0,0.6000000000000001,16150.0,5000.0,48125.0,28875.000000000004,275000.0,1023125.0,4998.55625,0.8505775,1023125.0,0.9992552101980833,0.9527735184752396
5000.0,0.0,11.0,0.7000000000000001,16150.0,5000.0,48125.0,33687.5,275000.0,1023125.0,4998.315625,0.85067375,1023125.0,0.9992712383743683,0.9532307205599861
5000.0,0.0,11.0,0.8,16150.0,5000.0,48125.0,38500.0,275000.0,1023125.0,4998.075,0.85077,1023125.0,0.9992872665506533,0.9536879226447328
5000.0,0.0,12.0,0.0,15800.0,5000.0,52499.99999999999,0.0,275000.0,1027500.0,5000.0,0.85,1027500.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,12.0,0.1,15800.0,5000.0,52499.99999999999,5250.0,275000.0,1027500.0,4999.7375,0.850105,1027500.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,12.0,0.2,15800.0,5000.0,52499.99999999999,10500.0,275000.0,1027500.0,4999.475,0.85021,1027500.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,12.0,0.30000000000000004,15800.0,5000.0,52499.99999999999,15750.0,275000.0,1027500.0,4999.2125,0.8503149999999999,1027500.0,0.9992114969900334,0.9515266036986579
5000.0,0.0,12.0,0.4,15800.0,5000.0,52499.99999999999,21000.0,275000.0,1027500.0,4998.95,0.85042,1027500.0,0.9992289822732534,0.9520253696092906
5000.0,0.0,12.0,0.5,15800.0,5000.0,52499.99999999999,26249.999999999996,275000.0,1027500.0,4998.6875,0.850525,1027500.0,0.9992464675564733,0.9525241355199232
5000.0,0.0,12.0,0.6000000000000001,15800.0,5000.0,52499.99999999999,31500.0,275000.0,1027500.0,4998.425,0.85063,1027500.0,0.9992639528396933,0.9530229014305559
5000.0,0.0,12.0,0.7000000000000001,15800.0,5000.0,52499.99999999999,36750.0,275000.0,1027500.0,4998.1625,0.850735,1027500.0,0.9992814381229131,0.9535216673411886
5000.0,0.0,12.0,0.8,15800.0,5000.0,52499.99999999999,42000.0,275000.0,1027500.0,4997.9,0.8508399999999999,1027500.0,0.9992989234061332,0.9540204332518207
5000.0,0.0,13.0,0.0,15450.0,5000.0,56875.0,0.0,275000.0,1031875.0,5000.0,0.85,1031875.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,13.0,0.1,15450.0,5000.0,56875.0,5687.5,275000.0,1031875.0,4999.715625,0.85011375,1031875.0,0.9991779835305284,0.9505706357032793
5000.0,0.0,13.0,0.2,15450.0,5000.0,56875.0,11375.0,275000.0,1031875.0,4999.43125,0.8502275,1031875.0,0.9991969259206834,0.9511109654397979
5000.0,0.0,13.0,0.30000000000000004,15450.0,5000.0,56875.0,17062.500000000004,275000.0,1031875.0,4999.146875,0.8503412499999999,1031875.0,0.9992158683108383,0.9516512951763161
5000.0,0.0,13.0,0.4,15450.0,5000.0,56875.0,22750.0,275000.0,1031875.0,4998.8625,0.850455,1031875.0,0.9992348107009933,0.9521916249128348
5000.0,0.0,13.0,0.5,15450.0,5000.0,56875.0,28437.5,275000.0,1031875.0,4998.578125,0.85056875,1031875.0,0.9992537530911483,0.9527319546493536
5000.0,0.0,13.0,0.6000000000000001,15450.0,5000.0,56875.0,34125.00000000001,275000.0,1031875.0,4998.29375,0.8506825,1031875.0,0.9992726954813033,0.9532722843858722
5000.0,0.0,13.0,0.7000000000000001,15450.0,5000.0,56875.0,39812.50000000001,275000.0,1031875.0,4998.009375,0.85079625,1031875.0,0.9992916378714582,0.9538126141223909
5000.0,0.0,13.0,0.8,15450.0,5000.0,56875.0,45500.0,275000.0,1031875.0,4997.725,0.8509099999999999,1031875.0,0.9993105802616131,0.9543529438589091
5000.0,0.0,14.0,0.0,15100.0,5000.0,61250.0,0.0,275000.0,1036250.0,5000.0,0.85,1036250.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,14.0,0.1,15100.0,5000.0,61250.0,6125.0,275000.0,1036250.0,4999.69375,0.8501225,1036250.0,0.9991794406374634,0.9506121995291653
5000.0,0.0,14.0,0.2,15100.0,5000.0,61250.0,12250.0,275000.0,1036250.0,4999.3875,0.850245,1036250.0,0.9991998401345534,0.9511940930915701
5000.0,0.0,14.0,0.30000000000000004,15100.0,5000.0,61250.0,18375.000000000004,275000.0,1036250.0,4999.08125,0.8503674999999999,1036250.0,0.9992202396316433,0.9517759866539742
5000.0,0.0,14.0,0.4,15100.0,5000.0,61250.0,24500.0,275000.0,1036250.0,4998.775,0.85049,1036250.0,0.9992406391287333,0.952357880216379
5000.0,0.0,14.0,0.5,15100.0,5000.0,61250.0,30625.0,275000.0,1036250.0,4998.46875,0.8506125,1036250.0,0.9992610386258233,0.9529397737787838
5000.0,0.0,14.0,0.6000000000000001,15100.0,5000.0,61250.0,36750.00000000001,275000.0,1036250.0,4998.1625,0.850735,1036250.0,0.9992814381229131,0.9535216673411886
5000.0,0.0,14.0,0.7000000000000001,15100.0,5000.0,61250.0,42875.00000000001,275000.0,1036250.0,4997.85625,0.8508574999999999,1036250.0,0.9993018376200031,0.9541035609035928
5000.0,0.0,14.0,0.8,15100.0,5000.0,61250.0,49000.0,275000.0,1036250.0,4997.55,0.85098,1036250.0,0.9993222371170931,0.9546854544659975
5000.0,0.0,15.0,0.0,14750.0,5000.0,65625.0,0.0,275000.0,1040625.0,5000.0,0.85,1040625.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,15.0,0.1,14750.0,5000.0,65625.0,6562.5,275000.0,1040625.0,4999.671875,0.85013125,1040625.0,0.9991808977443984,0.9506537633550514
5000.0,0.0,15.0,0.2,14750.0,5000.0,65625.0,13125.0,275000.0,1040625.0,4999.34375,0.8502625,1040625.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,15.0,0.30000000000000004,14750.0,5000.0,65625.0,19687.500000000004,275000.0,1040625.0,4999.015625,0.85039375,1040625.0,0.9992246109524484,0.9519006781316325
5000.0,0.0,15.0,0.4,14750.0,5000.0,65625.0,26250.0,275000.0,1040625.0,4998.6875,0.850525,1040625.0,0.9992464675564733,0.9525241355199232
5000.0,0.0,15.0,0.5,14750.0,5000.0,65625.0,32812.5,275000.0,1040625.0,4998.359375,0.85065625,1040625.0,0.9992683241604983,0.953147592908214
5000.0,0.0,15.0,0.6000000000000001,14750.0,5000.0,65625.0,39375.00000000001,275000.0,1040625.0,4998.03125,0.8507875,1040625.0,0.9992901807645231,0.9537710502965049
5000.0,0.0,15.0,0.7000000000000001,14750.0,5000.0,65625.0,45937.50000000001,275000.0,1040625.0,4997.703125,0.85091875,1040625.0,0.9993120373685481,0.9543945076847952
5000.0,0.0,15.0,0.8,14750.0,5000.0,65625.0,52500.0,275000.0,1040625.0,4997.375,0.85105,1040625.0,0.9993338939725731,0.955017965073086
5000.0,5.0,0.0,0.0,19400.0,5000.0,25000.0,0.0,275000.0,1000000.0,5000.0,0.85,1000000.0,0.9991590411403736,0.9500303059667605
5000.0,5.0,0.0,0.1,19400.0,5000.0,25000.0,2500.0,275000.0,1000000.0,4999.875,0.85005,1000000.0,0.9991673674657163,0.9502678135432522
5000.0,5.0,0.0,0.2,19400.0,5000.0,25000.0,5000.0,275000.0,1000000.0,4999.75,0.8501,1000000.0,0.9991756937910592,0.9505053211197438
5000.0,5.0,0.0,0.30000000000000004,19400.0,5000.0,25000.0,7500.000000000001,275000.0,1000000.0,4999.625,0.85015,1000000.0,0.9991840201164021,0.9507428286962355
5000.0,5.0,0.0,0.4,19400.0,5000.0,25000.0,10000.0,275000.0,1000000.0,4999.5,0.8502,1000000.0,0.9991923464417448,0.9509803362727272
5000.0,5.0,0.0,0.5,19400.0,5000.0,25000.0,12500.0,275000.0,1000000.0,4999.375,0.85025,1000000.0,0.9992006727670877,0.9512178438492188
5000.0,5.0,0.0,0.6000000000000001,19400.0,5000.0,25000.0,15000.000000000002,275000.0,1000000.0,4999.25,0.8503,1000000.0,0.9992089990924305,0.9514553514257105
5000.0,5.0,0.0,0.7000000000000001,19400.0,5000.0,25000.0,17500.0,275000.0,1000000.0,4999.125,0.8503499999999999,1000000.0,0.9992173254177734,0.9516928590022021
5000.0,5.0,0.0,0.8,19400.0,5000.0,25000.0,20000.0,275000.0,1000000.0,4999.0,0.8503999999999999,1000000.0,0.9992256517431162,0.9519303665786938
5000.0,5.0,1.0,0.0,19050.0,5000.0,29375.0,0.0,275000.0,1004375.0,5000.0,0.85,1004375.0,0.9991590411403736,0.9500303059667605
5000.0,5.0,1.0,0.1,19050.0,5000.0,29375.0,2937.5,275000.0,1004375.0,4999.853125,0.85005875,1004375.0,0.9991688245726513,0.9503093773691382
5000.0,5.0,1.0,0.2,19050.0,5000.0,29375.0,5875.0,275000.0,1004375.0,4999.70625,0.8501175,1004375.0,0.9991786080049292,0.9505884487715159
5000.0,5.0,1.0,0.30000000000000004,19050.0,5000.0,29375.0,8812.500000000002,275000.0,1004375.0,4999.559375,0.85017625,1004375.0,0.9991883914372071,0.9508675201738936
5000.0,5.0,1.0,0.4,19050.0,5000.0,29375.0,11750.0,275000.0,1004375.0,4999.4125,0.850235,1004375.0,0.9991981748694848,0.9511465915762713
5000.0,5.0,1.0,0.5,19050.0,5000.0,29375.0,14687.5,275000.0,1004375.0,4999.265625,0.85029375,1004375.0,0.9992079583017627,0.9514256629786492
5000.0,5.0,1.0,0.6000000000000001,19050.0,5000.0,29375.0,17625.000000000004,275000.0,1004375.0,4999.11875,0.8503525,1004375.0,0.9992177417340405,0.9517047343810269
